Γ,Jₚ,Jₕ
0.0,-4.280352733960451e-16,-4.675798881443327e-16
0.02631578947368421,0.0019337979255045898,0.00022239867700750145
0.05263157894736842,0.003710427383244702,0.0003981051764409192
0.07894736842105263,0.005298940534678526,0.0005313130510806032
0.10526315789473684,0.0067145249665693536,0.0006288738507470722
0.13157894736842105,0.007978617304863373,0.0006977940104229598
0.15789473684210525,0.009110246137704253,0.0007440528181175839
0.18421052631578946,0.010125250804853244,0.000772427501988392
0.21052631578947367,0.01103695907512299,0.0007866804854375414
0.23684210526315788,0.011856820861539899,0.0007897903988483225
0.2631578947368421,0.012594819102399884,0.0007841385986766094
0.2894736842105263,0.013259732410468402,0.0007716471280269591
0.3157894736842105,0.013859319828917699,0.000753880644764528
0.34210526315789475,0.014400463301216344,0.0007321225792594002
0.3684210526315789,0.014889282736820733,0.0007074320493275239
0.39473684210526316,0.015331230523374404,0.0006806861057213564
0.42105263157894735,0.015731170024620513,0.0006526110414800186
0.4473684210526316,0.01609344183476193,0.0006238059212510649
0.47368421052631576,0.0164219208551214,0.0005947608492022289
0.5,0.016720066434362107,0.000565871812268845
