T,Jₚ,Jₕ
0.0001,0.010332455179871447,0.00014871851571073163
0.00011233240329780277,0.010332455179871447,0.00014871851571073163
0.0001261856883066021,0.010332455179871447,0.00014871851571073163
0.00014174741629268049,0.010332455179876557,0.0001487185157135812
0.00015922827933410923,0.010332455179874396,0.00014871851571239005
0.0001788649529057435,0.010332455179871986,0.000148718515711409
0.00020092330025650479,0.010332455179871289,0.00014871851571194742
0.0002257019719633919,0.010332455179825721,0.00014871851571208818
0.00025353644939701115,0.0103324551791713,0.00014871851569050077
0.0002848035868435802,0.010332455172207947,0.00014871851551287904
0.00031992671377973844,0.0103324551153057,0.00014871851404842817
0.00035938136638046257,0.010332454750308036,0.00014871850467803243
0.0004037017258596554,0.010332452866177563,0.0001487184564455406
0.00045348785081285824,0.010332444864483752,0.00014871825251190483
0.000509413801481638,0.01033241635259838,0.00014871753034825604
0.0005722367659350221,0.010332329612271061,0.0001487153518774772
0.0006428073117284319,0.010332100781650715,0.00014870966899485164
0.0007220809018385464,0.010331570024679524,0.0001486966789950726
0.0008111308307896872,0.010330474433589256,0.00014867036338085096
0.0009111627561154896,0.010328440342577553,0.00014862266313934246
0.0010235310218990258,0.010325012833323818,0.0001485447172508148
0.0011497569953977356,0.01031973194236165,0.0001484292986842614
0.001291549665014884,0.01031224834332571,0.0001482740824176365
0.0014508287784959402,0.010302451555325455,0.0001480848622877087
0.0016297508346206436,0.010290569278503345,0.00014787754677849478
0.0018307382802953678,0.010277195687878457,0.00014767792663696099
0.0020565123083486517,0.010263224236638535,0.00014751889071533278
0.0023101297000831605,0.010249693363627315,0.0001474357804013261
0.0025950242113997346,0.010237588212039383,0.00014746146440302487
0.002915053062825176,0.010227660484959095,0.00014762298829447095
0.0032745491628777285,0.010220321215920057,0.00014794110635159806
0.0036783797718286343,0.010215631557197548,0.0001484329055755278
0.0041320124001153384,0.010213380465643889,0.00014911665118754792
0.004641588833612777,0.010213212008611697,0.00015001742003842324
0.005214008287999685,0.01021475727113513,0.00015117221394801857
0.005857020818056668,0.010217735127259882,0.00015263388112422973
0.006579332246575682,0.010222005132622294,0.00015447394970194946
0.007390722033525776,0.010227575510241586,0.00015678502127655818
0.008302175681319744,0.010234582026155474,0.000159683475152621
0.0093260334688322,0.010243255855227411,0.000163312933495017
0.010476157527896646,0.01025389208656898,0.0001678484503203111
0.011768119524349984,0.0102668208910714,0.000173500933426237
