ϵ,Jₚ,Jₕ
-1.0,0.0004011556734297405,-9.132173942938486e-5
-0.9797979797979799,0.00042067377985917956,-9.608697179827992e-5
-0.9595959595959596,0.00044158916690193237,-0.00010115819220142357
-0.9393939393939394,0.00046401631094562855,-0.00010654052187808748
-0.9191919191919191,0.0004881075402049996,-0.00011226426143026719
-0.898989898989899,0.0005140704863594341,-0.0001183988565215365
-0.8787878787878789,0.0005421768237901303,-0.00012505701589698542
-0.8585858585858586,0.0005727572037136888,-0.00013238493478673515
-0.8383838383838385,0.0006061839843337882,-0.00014054147498936272
-0.8181818181818181,0.0006428475528284077,-0.00014967288462814558
-0.797979797979798,0.0006831317062993168,-0.0001598885678425987
-0.7777777777777777,0.0007273933754705498,-0.00017124224905209172
-0.7575757575757576,0.0007759573510624173,-0.00018372646431612027
-0.7373737373737375,0.0008291454805069505,-0.00019729456194546096
-0.7171717171717171,0.0008873574706288031,-0.00021192143337563232
-0.696969696969697,0.000951188534738836,-0.00022768861665826252
-0.6767676767676767,0.0010215173319920957,-0.0002448411385343157
-0.6565656565656566,0.001099482728176423,-0.00026375688465385383
-0.6363636363636362,0.0011863347848851211,-0.0002848241044725702
-0.6161616161616161,0.0012832513063880788,-0.0003082996076410975
-0.595959595959596,0.001391267325141836,-0.00033425239222446986
-0.5757575757575757,0.0015114128817498309,-0.0003626523833365182
-0.5555555555555556,0.0016449759953737302,-0.0003935422703216091
-0.5353535353535355,0.0017936177449347581,-0.0004271131857688207
-0.5151515151515151,0.00195915028030539,-0.00046356816220896894
-0.49494949494949486,0.002143167902023341,-0.0005028987747618646
-0.4747474747474747,0.0023468833150384174,-0.0005447956393048699
-0.4545454545454546,0.0025711892522089007,-0.0005887060217400885
-0.4343434343434343,0.002816695343718559,-0.0006338844891810825
-0.41414141414141414,0.003083710609832238,-0.0006794071442737383
-0.393939393939394,0.0033723270768641588,-0.0007242344739196362
-0.3737373737373737,0.003682552048298194,-0.0007673042425992069
-0.3535353535353534,0.004014309195490354,-0.0008075671560087677
-0.3333333333333334,0.004367281103160533,-0.0008439542947222391
-0.31313131313131315,0.004740691440922703,-0.0008753276975180635
-0.2929292929292929,0.005133106196109904,-0.000900453700315991
-0.2727272727272727,0.0055422782716601105,-0.0009180087859930042
-0.25252525252525254,0.005965034477209532,-0.0009266134414347191
-0.23232323232323232,0.006397202980787039,-0.0009248875519551449
-0.21212121212121215,0.0068335852020171405,-0.0009115222094408757
-0.191919191919192,0.007267980702491006,-0.0008853635251828361
-0.1717171717171717,0.007693274948140586,-0.0008455035318378295
-0.15151515151515144,0.008101597944760999,-0.000791371991064669
-0.13131313131313127,0.008484557100558723,-0.0007228214995532695
-0.11111111111111116,0.008833540792382516,-0.0006401972555881786
-0.09090909090909088,0.009140080786315697,-0.0005443826661508918
-0.07070707070707072,0.009396252993397792,-0.0004368129624970588
-0.05050505050505055,0.00959508840258756,-0.0003194512795513355
-0.030303030303030276,0.009730960883473604,-0.00019472512067520914
-0.01010101010101,0.009799917138150479,-6.54253890513561e-5
0.010101010101010166,0.009799917138150894,6.542538904880313e-5
0.030303030303030276,0.009730960883474743,0.00019472512067514547
0.05050505050505061,0.009595088402583284,0.00031945127955115783
0.07070707070707072,0.009396252993398958,0.0004368129624980543
0.09090909090909083,0.009140080786315593,0.0005443826661501815
0.11111111111111116,0.008833540792379952,0.0006401972555891782
0.13131313131313127,0.008484557100557965,0.0007228214995516878
0.1515151515151516,0.008101597944762357,0.0007913719910663771
0.1717171717171717,0.007693274948143276,0.0008455035318373273
0.19191919191919182,0.007267980702491262,0.0008853635251848075
0.21212121212121215,0.006833585202018571,0.0009115222094423286
0.23232323232323226,0.006397202980782584,0.0009248875519526035
0.2525252525252526,0.005965034477208033,0.0009266134414369741
0.2727272727272727,0.0055422782716591885,0.0009180087859913713
0.29292929292929304,0.005133106196110821,0.0009004537003145753
0.31313131313131315,0.004740691440922075,0.0008753276975162902
0.33333333333333326,0.004367281103161323,0.0008439542947193767
0.3535353535353536,0.004014309195492168,0.0008075671560053038
0.3737373737373737,0.0036825520482993627,0.0007673042426018088
0.39393939393939403,0.003372327076862934,0.0007242344739191041
0.41414141414141414,0.0030837106098330937,0.0006794071442743498
0.43434343434343425,0.0028166953437179978,0.0006338844891826629
0.4545454545454546,0.002571189252212925,0.0005887060217381131
0.4747474747474747,0.0023468833150396447,0.0005447956393071095
0.49494949494949503,0.0021431679020243012,0.000502898774761309
0.5151515151515151,0.001959150280302786,0.00046356816221148576
0.5353535353535352,0.0017936177449332355,0.0004271131857671669
0.5555555555555556,0.0016449759953723548,0.00039354227032166504
0.5757575757575757,0.0015114128817508238,0.00036265238333958635
0.595959595959596,0.0013912673251446086,0.00033425239222592123
0.6161616161616161,0.001283251306389634,0.0003082996076408956
0.6363636363636365,0.0011863347848815307,0.00028482410447017197
0.6565656565656566,0.0010994827281783676,0.00026375688465189197
0.6767676767676767,0.0010215173319924218,0.00024484113853202806
0.696969696969697,0.0009511885347362318,0.00022768861665847247
0.7171717171717171,0.0008873574706242042,0.00021192143337396844
0.7373737373737375,0.0008291454805032519,0.00019729456194611262
0.7575757575757576,0.0007759573510633243,0.0001837264643171837
0.7777777777777777,0.0007273933754711751,0.00017124224905307048
0.797979797979798,0.00068313170629745,0.00015988856784113258
0.8181818181818181,0.0006428475528284807,0.0001496728846280898
0.8383838383838385,0.0006061839843364775,0.00014054147499139316
0.8585858585858586,0.0005727572037122416,0.00013238493478694976
0.8787878787878789,0.0005421768237916009,0.00012505701589860668
