Γ,Jₚ,Jₕ
0.0,5.464930140566049e-15,8.975542369759501e-15
0.02631578947368421,0.0023656276143186523,0.0002680332603261791
0.05263157894736842,0.004425687868878691,0.0004554919328826483
0.07894736842105263,0.006220756737022896,0.0005826182348664808
0.10526315789473684,0.007786414294189375,0.0006646332135870271
0.13157894736842105,0.00915359655641989,0.0007130159776200585
0.15789473684210525,0.010349059937315679,0.0007364471891357194
0.18421052631578946,0.011395873992768576,0.0007415071980731922
0.21052631578947367,0.012313896884821207,0.0007331940391644703
0.23684210526315788,0.013120211224758108,0.0007153087018013701
0.2631578947368421,0.013829511725578187,0.0006907424577548215
0.2894736842105263,0.014454443896690075,0.0006616919491392928
0.3157894736842105,0.015005896985263589,0.000629821047009458
0.34210526315789475,0.015493255966926123,0.0005963834649985395
0.3684210526315789,0.015924617670040015,0.0005623163287489207
0.39473684210526316,0.016306975794833967,0.0005283120923932227
0.42105263157894735,0.016646379075662687,0.0004948741533792294
0.4473684210526316,0.016948066318607402,0.00046236006450460086
0.47368421052631576,0.017216581586482833,0.0004310152208105749
0.5,0.01745587239988623,0.0004009991799434498
