Γ,Jₚ,Jₕ
0.0,2.076870303959338e-15,-3.5110076555188274e-17
0.02631578947368421,0.0027766282210999133,0.000314905519167369
0.05263157894736842,0.005149668101892644,0.0005649970321515587
0.07894736842105263,0.007182919558494314,0.0007627044847929461
0.10526315789473684,0.008928643045526674,0.00091776202602527
0.13157894736842105,0.010429799460420252,0.001037796680269349
0.15789473684210525,0.011721823888339533,0.001128782182126554
0.18421052631578946,0.012834063921975784,0.0011954047486808694
0.21052631578947367,0.013790981032057885,0.0012413755509444633
0.23684210526315788,0.01461317454550227,0.001269708285998365
0.2631578947368421,0.015318243777083273,0.0012829601103892963
0.2894736842105263,0.01592147206674741,0.0012834189732685575
0.3157894736842105,0.016436316140711896,0.0012732203836604728
0.34210526315789475,0.01687471351694837,0.0012543920227749443
0.3684210526315789,0.017247254701614607,0.0012288435248915073
0.39473684210526316,0.017563281297941637,0.001198328628086316
0.42105263157894735,0.017830961469045142,0.00116440455394369
0.4473684210526316,0.018057372289461193,0.0011284040469569524
0.47368421052631576,0.018248597873257593,0.0010914255593878009
0.5,0.018409839438477595,0.0010543402437934797
